center_number,name_of_school
11477,"Abbotts College Centurion"
5582,"Abbotts College Centurion"
5582,"Abbotts College Johannesburg South"
11480,"Abbotts College Northcliff"
5582,"Abbotts College Northcliff"
5582,"Abbotts College Pretoria East"
11478,"Abbotts College Rondebosch"
5582,"Abbotts College Rondebosch"
11904,"Acts House of Education"
6420,"Advance For Life Christian Academy"
11905,"Amberfield College"
5522,"Ambleside School of Hout Bay"
1009,"Assumption Convent School"
1012,"Beaulieu College"
5392,"Besa Leadership Academy"
11110,"Blue Hills College"
12083,Brainline
1014,"Brescia House School"
1015,"Bridge House School"
2516,"Calvary Christian College"
5624,"Cambridge Academy"
12016,CambriLearn
2966,"Cedar House School"
11791,"Centennial Schools"
1162,"Clifton School"
1023,"Cornwall Hill College"
3488,"Covenant College"
11850,"Crawford International Bedfordview"
1087,"Crawford International Ruimsig"
1024,"Creston College"
6737,"Curro Bloemfontein IC/S"
11615,"Curro Edenvale School"
1138,"Curro Klerksdorp"
1118,"Curro Midrand Sagewood"
5445,"Curro Roodeplaat"
11015,"Curro Secunda"
3379,"Curro Serengeti Combined School"
9901,"Curro Somerset West"
11404,"Curro Vanderbijlpark Combined"
11273,"Curro Waterfall Combined"
11452,"Curro Westbrook Independent School"
1033,"Diocesan School for Girls"
1035,"Domino Servite School"
11720,"Doxa Deo Edendale School"
9895,"Education Incorporated"
6734,Eduplex
1042,"Elkanah House"
1046,"Epworth High School for Girls"
11717,"Etham College"
11636,"Evolve Online School"
1047,"Felixton College"
12038,"Fundamental High School"
11255,"Future Nation Schools Lyndhurst"
11542,"Futurum Akademie"
11512,"Generation Schools Somerset West"
11728,"Gereformeerde Gekombineerde Skool Dirk Postma"
11711,"Get Ahead College"
1052,"Greenacres Private College"
11798,"HaMakom Privaatskool"
9706,"Hamilton College"
1056,"Harvest Christian School"
1057,"Hatfield Christian School"
1058,"Helpmekaar Kollege"
1060,"HeronBridge College"
1062,"Hilton College"
1063,"Hirsch Lyons Schools"
11094,"Holy Family College"
1065,"Holy Rosary School"
1066,"Hyde Park High School"
3640,"Jabez Christian Academy"
1068,"Kearsney College"
1071,"Kingfisher Private School"
1077,"Kingsmead College"
1078,"Kingswood College"
9930,Kitsong
1079,"Knysna Montessori School"
1080,"La Salle College"
1083,"Lebone II College of the Royal Bafokeng"
1084,"Leeuwenhof Akademie"
11993,"Legacy House School"
11148,"Maranatha Christian School"
3313,"Marist Brothers Linmeyer"
5541,"Merrifield Preparatory School and College"
1094,Michaelhouse
1096,"Midstream College"
1098,"Oakhill school"
4121,"Oprah Winfrey Leadership Academy for Girls"
1099,"Our Lady of Fatima Dominican Convent School"
11324,"Our Lady of Lebanon Maronite Catholic High School"
1101,"Pecanwood College"
1102,"Penryn College"
11283,"Pinnacle College Copperleaf"
11536,"Pinnacle College Linden"
11266,"Pinnacle College Rynfield"
11540,"Pinnacle College Waterfall"
1105,"Pretoria Chinese School"
11153,"Radford House High School"
3123,"Rand Preparatory and College"
1110,"Rand Preparatory and College"
10987,"Reddam House Helderfontein"
9902,"Reddford House Blue Hills"
9903,"Reddford House Northcliff"
8420,"Reddford House The Hills"
1116,"Roedean School (SA)"
1117,"Sacred Heart College"
1121,"Selly Park Secondary School"
11460,"Seren House Cottage School"
2613,"Silvermine Academy"
1125,"Somerset College"
11550,"Somerset West Private School"
12040,"Soul Leadership Academy"
1126,"Southcity Christian College"
3641,"Southdowns College"
1127,"Southern Cross Schools"
1134,"St Benedict School; Pinetown"
1154,"St Nicholas Diocesan School"
11084,"Steyn City School"
7159,"Summerhill Combined School"
4174,"The Reunert Learning Institute"
1164,"Thomas More College"
11338,"Torah Academy"
1165,"Treverton College"
1167,"Trinityhouse High School; Randpark Ridge"
11949,"Veritas School"
1174,"Verney College"
1177,"Waterberg Academy"
1178,"Waterfall College"
1180,"Woodhill College"
1181,"Woodlands International College"
1182,"Woodridge College"
11952,"ZAYO Sport Institution"
